riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs10843404-C	3E-8	-	0.47	1.08	-	[1.05-1.11]	DDX12B,LINC02367	"Preeclampsia or other maternal hypertension (maternal genotype effect)"	"preeclampsia,hypertension, pregnancy-induced"	-	GCST90269904	12:9318619	37285119	"Tyrmi JS"
rs117928258-T	3E-14	-	0.02	1.45	-	[1.32-1.6]	TNS2	"Preeclampsia or other maternal hypertension (maternal genotype effect)"	"preeclampsia,hypertension, pregnancy-induced"	-	GCST90269904	12:53063801	37285119	"Tyrmi JS"
rs6224-T	2E-10	-	0.42	1.09	-	[1.06-1.12]	FURIN	"Preeclampsia or other maternal hypertension (maternal genotype effect)"	"preeclampsia,hypertension, pregnancy-induced"	-	GCST90269904	15:90880313	37285119	"Tyrmi JS"
rs113935429-A	1E-10	-	0.38	1.1	-	[1.07-1.13]	FTO	"Preeclampsia or other maternal hypertension (maternal genotype effect)"	"preeclampsia,hypertension, pregnancy-induced"	-	GCST90269904	16:53788258	37285119	"Tyrmi JS"
rs167479-T	7E-13	-	0.44	0.9	-	[0.88-0.93]	RGL3	"Preeclampsia or other maternal hypertension (maternal genotype effect)"	"preeclampsia,hypertension, pregnancy-induced"	-	GCST90269904	19:11416089	37285119	"Tyrmi JS"
rs979971-T	9E-9	-	0.47	0.92	-	[0.9-0.95]	ACTN4	"Preeclampsia or other maternal hypertension (maternal genotype effect)"	"preeclampsia,hypertension, pregnancy-induced"	-	GCST90269904	19:38653604	37285119	"Tyrmi JS"
rs2208589-G	2E-8	-	0.87	1.12	-	[1.08-1.17]	PREX1	"Preeclampsia or other maternal hypertension (maternal genotype effect)"	"preeclampsia,hypertension, pregnancy-induced"	-	GCST90269904	20:48791877	37285119	"Tyrmi JS"
rs201454025-G	8E-13	-	0.17	1.14	-	[1.1-1.18]	ZNF831	"Preeclampsia or other maternal hypertension (maternal genotype effect)"	"preeclampsia,hypertension, pregnancy-induced"	-	GCST90269904	20:59182706	37285119	"Tyrmi JS"
rs710446-?	2E-6	-	NR	-	"0.089 unit decrease"	[NR]	KNG1,HRG-AS1	Thrombosis	"Ischemic stroke,venous thromboembolism,stroke,Abnormal thrombosis,deep vein thrombosis,pulmonary embolism"	-	GCST003390	3:186742138	26908601	"Hinds DA"
rs1799963-A	1E-24	-	0.0145	1.9531249	-	[1.74-2.19]	F2	Thrombosis	"Ischemic stroke,venous thromboembolism,stroke,Abnormal thrombosis,deep vein thrombosis,pulmonary embolism"	-	GCST003390	11:46739505	26908601	"Hinds DA"
rs7654093-T	2E-19	-	0.2322	1.216	-	"[1.166- 1.267]"	LRAT,FGG	Thrombosis	"Ischemic stroke,venous thromboembolism,stroke,Abnormal thrombosis,deep vein thrombosis,pulmonary embolism"	-	GCST003390	4:154623920	26908601	"Hinds DA"
rs6025-T	4E-137	-	0.0253	2.927	-	"[2.715- 3.154]"	F5	Thrombosis	"Ischemic stroke,venous thromboembolism,stroke,Abnormal thrombosis,deep vein thrombosis,pulmonary embolism"	-	GCST003390	1:169549811	26908601	"Hinds DA"
rs114209171-T	7E-13	-	0.7756	1.153	-	"[1.108- 1.200]"	FUNDC2	Thrombosis	"Ischemic stroke,venous thromboembolism,stroke,Abnormal thrombosis,deep vein thrombosis,pulmonary embolism"	-	GCST003390	X:155050522	26908601	"Hinds DA"
rs9797861-T	6E-9	-	0.7601	1.145	-	"[1.093- 1.199]"	SLC44A2	Thrombosis	"Ischemic stroke,venous thromboembolism,stroke,Abnormal thrombosis,deep vein thrombosis,pulmonary embolism"	-	GCST003390	19:10632450	26908601	"Hinds DA"
rs34234989-?	7E-9	-	0.2852	1.1299435	-	[1.08-1.18]	PROCR	Thrombosis	"Ischemic stroke,venous thromboembolism,stroke,Abnormal thrombosis,deep vein thrombosis,pulmonary embolism"	-	GCST003390	20:35186731	26908601	"Hinds DA"
rs72798544-G	2E-7	-	0.0265	1.3642566	-	[1.22-1.53]	COX7A2L	Thrombosis	"Ischemic stroke,venous thromboembolism,stroke,Abnormal thrombosis,deep vein thrombosis,pulmonary embolism"	-	GCST003390	2:42372465	26908601	"Hinds DA"
rs17490626-G	3E-7	-	0.8782	1.165	-	"[1.098- 1.236]"	TSPAN15	Thrombosis	"Ischemic stroke,venous thromboembolism,stroke,Abnormal thrombosis,deep vein thrombosis,pulmonary embolism"	-	GCST003390	10:69458890	26908601	"Hinds DA"
rs113092656-A	4E-7	-	0.0341	1.3736264	-	[1.22-1.55]	TMEM170B,Metazoa_SRP	Thrombosis	"Ischemic stroke,venous thromboembolism,stroke,Abnormal thrombosis,deep vein thrombosis,pulmonary embolism"	-	GCST003390	6:11615072	26908601	"Hinds DA"
rs60942712-T	8E-7	-	0.101	1.211	-	"[1.124- 1.306]"	GAPDHP50,ICE2P2	Thrombosis	"Ischemic stroke,venous thromboembolism,stroke,Abnormal thrombosis,deep vein thrombosis,pulmonary embolism"	-	GCST003390	3:88998609	26908601	"Hinds DA"
rs529565-C	7E-63	-	0.3412	1.3831259	-	[1.33-1.43]	ABO	Thrombosis	"Ischemic stroke,venous thromboembolism,stroke,Abnormal thrombosis,deep vein thrombosis,pulmonary embolism"	-	GCST003390	9:133274084	26908601	"Hinds DA"
rs4444878-A	7E-28	-	0.4012	1.2345679	-	[1.19-1.28]	F11-AS1	Thrombosis	"Ischemic stroke,venous thromboembolism,stroke,Abnormal thrombosis,deep vein thrombosis,pulmonary embolism"	-	GCST003390	4:186292729	26908601	"Hinds DA"
rs115364369-A	6E-12	-	0.8988	-	"0.3321 unit increase"	[0.24-0.43]	VWF	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90475945	12:6026329	39024449	"Verma A"
rs2066865-G	1E-15	-	0.6965	-	"0.2089 unit decrease"	[0.16-0.26]	FGA,FGG	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90475945	4:154604124	39024449	"Verma A"
rs554710059-G	3E-12	-	0.9723	-	"0.501 unit decrease"	[0.37-0.63]	RNU6-488P,HSPE1P19	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90475945	3:90420150	39024449	"Verma A"
rs74437754-A	5E-15	-	0.9743	-	"0.5191 unit decrease"	[0.4-0.64]	PROS1	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90475945	3:93934577	39024449	"Verma A"
rs74492489-A	1E-14	-	0.9781	-	"0.581 unit decrease"	[0.44-0.72]	IWS1	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90475945	2:127489593	39024449	"Verma A"
rs8176749-C	1E-20	-	0.837	-	"0.287 unit decrease"	[0.23-0.35]	ABO	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90475945	9:133255801	39024449	"Verma A"
rs10886430-A	3E-11	-	0.8855	-	"0.1522 unit decrease"	[0.11-0.2]	GRK5	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90475946	10:119250744	39024449	"Verma A"
rs115478735-A	1E-80	-	0.8074	-	"0.3106 unit decrease"	[0.28-0.34]	ABO	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90475946	9:133274295	39024449	"Verma A"
rs12445050-C	2E-18	-	0.8653	-	"0.169 unit decrease"	[0.13-0.21]	PLCG2	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90475946	16:81837364	39024449	"Verma A"
rs1799963-G	3E-49	-	0.9862	-	"0.6963 unit decrease"	[0.61-0.78]	F2	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90475946	11:46739505	39024449	"Verma A"
rs1894692-G	6E-95	-	0.03755	-	"0.766 unit increase"	[0.7-0.83]	F5,SLC19A2	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90475946	1:169498416	39024449	"Verma A"
rs2066865-G	2E-47	-	0.7617	-	"0.2232 unit decrease"	[0.19-0.25]	FGA,FGG	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90475946	4:154604124	39024449	"Verma A"
rs2378335-A	5E-17	-	0.6794	-	"0.1244 unit decrease"	[0.095-0.154]	EDEM2,PROCR	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90475946	20:35169027	39024449	"Verma A"
rs4444878-C	3E-64	-	0.6066	-	"0.2459 unit decrease"	[0.22-0.27]	F11-AS1	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90475946	4:186292729	39024449	"Verma A"
rs78707713-T	6E-27	-	0.8789	-	"0.2537 unit increase"	[0.21-0.3]	TSPAN15	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90475946	10:69485520	39024449	"Verma A"
rs8110055-A	4E-17	-	0.2238	-	"0.1437 unit decrease"	[0.11-0.18]	SLC44A2	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90475946	19:10628467	39024449	"Verma A"
rs1894692-G	1E-105	-	0.03568	-	"0.7666 unit increase"	[0.62-0.91]	F5,SLC19A2	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90480137	1:169498416	39024449	"Verma A"
rs192607933-G	5E-16	-	0.9857	-	"0.5959 unit decrease"	[0.52-0.67]	IWS1	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90480137	2:127468893	39024449	"Verma A"
rs554710059-G	8E-13	-	0.9804	-	"0.4941 unit decrease"	[0.42-0.57]	RNU6-488P,HSPE1P19	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90480137	3:90420150	39024449	"Verma A"
rs74437754-A	3E-16	-	0.982	-	"0.5149 unit decrease"	[0.45-0.58]	PROS1	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90480137	3:93934577	39024449	"Verma A"
rs2066865-G	2E-59	-	0.75	-	"0.2195 unit decrease"	[0.2-0.24]	FGA,FGG	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90480137	4:154604124	39024449	"Verma A"
rs3756011-C	6E-67	-	0.636	-	"0.2267 unit decrease"	[0.21-0.25]	F11	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90480137	4:186285095	39024449	"Verma A"
rs115478735-A	1E-85	-	0.8416	-	"0.3085 unit decrease"	[0.29-0.33]	ABO	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90480137	9:133274295	39024449	"Verma A"
rs17490626-G	1E-26	-	0.9011	-	"0.2442 unit increase"	[0.19-0.3]	TSPAN15	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90480137	10:69458890	39024449	"Verma A"
rs334-T	9E-12	-	0.9617	-	"0.373 unit decrease"	[0.3-0.44]	HBB	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90480137	11:5227002	39024449	"Verma A"
rs1799963-G	7E-58	-	0.9883	-	"0.6868 unit decrease"	[0.65-0.73]	F2	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90480137	11:46739505	39024449	"Verma A"
rs76100694-G	3E-12	-	0.9787	-	"0.321 unit increase"	[0.2-0.44]	VWF	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90480137	12:6027618	39024449	"Verma A"
rs12445050-C	8E-17	-	0.8917	-	"0.1615 unit decrease"	[0.13-0.19]	PLCG2	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90480137	16:81837364	39024449	"Verma A"
rs9797854-C	1E-18	-	0.2016	-	"0.1413 unit decrease"	[0.11-0.17]	SLC44A2	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90480137	19:10632320	39024449	"Verma A"
rs2378335-A	7E-17	-	0.6142	-	"0.1127 unit decrease"	[0.089-0.136]	EDEM2,PROCR	"Pulmonary embolism and infarction, acute (PheCode 415.11)"	"pulmonary embolism,Pulmonary Infarction"	-	GCST90480137	20:35169027	39024449	"Verma A"
rs6702619-T	2E-14	-	0.47	1.28	-	[1.20-1.36]	LINC01708	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST005785	1:99580690	29511167	"Thériault S"
rs10455872-G	6E-21	-	0.081	1.54	-	[1.45-1.63]	LPA	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	6:160589086	32141789	"Thériault S"
rs7543039-T	1E-16	-	0.514	1.24	-	[1.19-1.29]	LINC01708	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	1:99584092	32141789	"Thériault S"
rs2069832-A	1E-8	-	0.428	1.16	-	[1.11-1.21]	IL6	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	7:22727814	32141789	"Thériault S"
rs12141569-C	4E-8	-	0.47	1.15	-	[1.1-1.2]	ALPL	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	1:21546509	32141789	"Thériault S"
rs114314058-C	4E-7	-	0.018	1.62	-	[1.43-1.81]	MMADHC-DT,LINC01818	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	2:150070319	32141789	"Thériault S"
rs113277183-C	9E-7	-	0.016	1.71	-	[1.5-1.92]	LINC03041	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	9:16350315	32141789	"Thériault S"
rs2150026-C	1E-6	-	0.29	1.15	-	[1.09-1.21]	PRRX1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	1:170676348	32141789	"Thériault S"
rs6715876-C	1E-6	-	0.361	1.14	-	[1.09-1.19]	ACTR2	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	2:65259794	32141789	"Thériault S"
rs665770-A	1E-6	-	0.398	1.13	-	[1.08-1.18]	IPO9-AS1,NAV1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	1:201778996	32141789	"Thériault S"
rs17010961-A	1E-6	-	0.141	1.2	-	[1.13-1.27]	ARHGAP24	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	4:85801950	32141789	"Thériault S"
rs117206641-T	2E-6	-	0.108	1.22	-	[1.14-1.3]	FBRSL1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	12:132510302	32141789	"Thériault S"
rs11180610-T	2E-6	-	0.189	1.19	-	[1.12-1.26]	KRR1,RPL10P13	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	12:75646614	32141789	"Thériault S"
rs4932408-A	3E-6	-	0.013	1.85	-	[1.59-2.11]	ACAN,ISG20	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	15:88688570	32141789	"Thériault S"
rs11234705-C	3E-6	-	0.436	1.13	-	[1.08-1.18]	ME3	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	11:86587658	32141789	"Thériault S"
rs2421649-G	4E-6	-	0.498	1.13	-	[1.08-1.18]	MECOM	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	3:169479545	32141789	"Thériault S"
rs114795211-A	4E-6	-	0.027	1.48	-	[1.31-1.65]	STPG2,COX7A2P2	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	4:96995385	32141789	"Thériault S"
rs12264978-T	4E-6	-	0.015	2.54	-	[2.14-2.94]	LINC02674,EMX2	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	10:117724358	32141789	"Thériault S"
rs10124723-G	4E-6	-	0.429	1.13	-	[1.08-1.18]	DENND4C	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	9:19257059	32141789	"Thériault S"
rs7593336-G	4E-6	-	0.387	1.13	-	[1.08-1.18]	TEX41	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	2:145078862	32141789	"Thériault S"
rs73056108-A	5E-6	-	0.091	1.26	-	[1.16-1.36]	RNA5SP127,H3P11	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	3:31254551	32141789	"Thériault S"
rs7937669-T	5E-6	-	0.338	1.13	-	[1.08-1.18]	HNRNPKP3,LINC02740	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	11:42848251	32141789	"Thériault S"
rs112277963-C	5E-6	-	0.011	1.7	-	[1.47-1.93]	RPL15P15,LINC02151	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	11:115985595	32141789	"Thériault S"
rs7748777-A	6E-6	-	0.448	1.13	-	[1.08-1.18]	TREM2,TREML2	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	6:41166068	32141789	"Thériault S"
rs12605367-T	6E-6	-	0.709	1.14	-	[1.08-1.2]	FAM210A	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	18:13686335	32141789	"Thériault S"
rs170828-G	7E-6	-	0.118	1.19	-	[1.12-1.26]	TACSTD2,MYSM1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	1:58635462	32141789	"Thériault S"
rs12465180-C	9E-6	-	0.121	1.19	-	[1.12-1.26]	SNTG2	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	2:1322371	32141789	"Thériault S"
rs2077522-C	3E-10	-	NR	-	-	-	LINC01364,RNA5SP52	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	1:87452063	38494474	"Thériault S"
rs6702619-G	4E-40	-	NR	-	-	-	LINC01708	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	1:99580690	38494474	"Thériault S"
rs1016819-G	1E-14	-	NR	-	-	-	PRRX1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	1:170676633	38494474	"Thériault S"
